Area,ID,Name,Count
Adugodi,4ce90bc5595cb1f78384cc14,Domino's Pizza,1
Banashankari,4e15e24c63658532efa39621,Domino's Pizza,3
Banashankari,559ebd93498eba17e2fefc6c,Domino's Pizza,3
Banashankari,4c7a2e9d81bca0938accff14,Pizza Hut,3
Banashankari 2nd Stage,548ff23c498e3cbb402f3df6,Vinny's,3
Banashankari 2nd Stage,4ffb0059e4b0ae40eeaba903,Domino's Pizza,3
Banashankari 2nd Stage,4c948ff0f7cfa1cdebdfb415,Pizza Hut,3
Banashankari 3rd Stage,4c7a2e9d81bca0938accff14,Pizza Hut,1
Bannerghatta,507846cbe4b00277f27390c6,Domino's Pizza,1
Bannerghatta Road,507846cbe4b00277f27390c6,Domino's Pizza,1
Bansawadi,4f09a0b1e4b039f5ae24973d,Domino's Pizza,1
Basavangudi,4ea2de368231f6dc6a336ac0,Domino's Pizza,1
Basaveswaranagar,4c135d40a9c220a126a3559d,Domino's Pizza,2
Basaveswaranagar,4c591fd34ed9ef3bb79fd96d,Pizza Hut,2
Benson Town,4c8a12351eafb1f702b77635,Domino's Pizza,1
Byatarayanapura,4e15ad1018a8addae8cbc126,Domino's Pizza,2
Byatarayanapura,4e1d8c9918a8e423cd55f906,PHD (Pizza Hut Delivery),2
C V Raman Nagar,4facc1fae4b0d4398d607391,Pizza Hut,1
Dasarahalli,53526ee8498e2879ec6e5848,Domino's Pizza,1
Dharmaram College,507846cbe4b00277f27390c6,Domino's Pizza,1
Domlur,4dbd01e11e72b351cac195c0,Domino's Pizza,2
Domlur,4c54417a72cf0f47a6053cd4,Pizza Hut,2
Fraser Town,4c8a12351eafb1f702b77635,Domino's Pizza,2
Fraser Town,4c03eaeaf56c2d7f6f7e1d66,Pizza Hut,2
Gavipuram Ext.,4ea2de368231f6dc6a336ac0,Domino's Pizza,1
Gokula Extension,4ce90bc5595cb1f78384cc14,Domino's Pizza,1
Hebbal Agri. Farm,559ebd93498eba17e2ff0578,Domino's Pizza,1
Hospital Town East,4c8a12351eafb1f702b77635,Domino's Pizza,2
Hospital Town East,4c03eaeaf56c2d7f6f7e1d66,Pizza Hut,2
Hospital Town West,4ce90bc5595cb1f78384cc14,Domino's Pizza,1
Indiranagar,56ab7a49498ea6e0e9fcb26a,Onesta,1
J C Nagar,4d03b1fc347da1cd3b0b278f,Domino's Pizza,1
Jayanagar 3rd Block,4c1398787f7f2d7ff645df68,Pizza Hut,1
Jayanagar East,4c1398787f7f2d7ff645df68,Pizza Hut,3
Jayanagar East,560fc57f498eff75a4214d11,Domino's Pizza,3
Jayanagar East,4c03dc1a3f03b713c10a5241,Domino's Pizza,3
Jayanagar South,4c1398787f7f2d7ff645df68,Pizza Hut,3
Jayanagar South,560fc57f498eff75a4214d11,Domino's Pizza,3
Jayanagar South,4c03dc1a3f03b713c10a5241,Domino's Pizza,3
Kadugodi,557c61c6498ec1b1d68d5553,Domino's Pizza,1
Kumbalgodu,4ce90bc5595cb1f78384cc14,Domino's Pizza,1
Koramangala,54eeedc5498e8e052f2f06ca,Onestà,2
Koramangala,4b7189f2f964a520fa4b2de3,Domino's Pizza,2
Koramangala 6th Block,4b7189f2f964a520fa4b2de3,Domino's Pizza,4
Koramangala 6th Block,54eeedc5498e8e052f2f06ca,Onestà,4
Koramangala 6th Block,4c2b3853b5fbb713728749df,Pizza Hut,4
Koramangala 6th Block,4c1b8d04b9f876b05a617a46,Papa Johns,4
Madivala,4fd4cd37e4b04b44f4f8df3a,Domino's Pizza,2
Madivala,56e43770498e04218e384f70,Domino's Pizza,2
Malleswaram West,4e196d94d22d5122588ce6e7,Domino's Pizza,2
